show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
s291,Movie,Untold: Malice at the Palace,Floyd Russ,,United States,10-Aug-21,2021,TV-MA,70 min,"Documentaries, Sports Movies"
s292,TV Show,SHAMAN KING,,"Yoko Hikasa, Katsuyuki Konishi, Megumi Hayashibara, Inuko Inuyama, Romi Park, Kosuke Takaguchi, Masahiko Tanaka, Wataru Takagi, Yuji Ueda, Megumi Nakajima, Takehito Koyasu, Yoko Soumi, Motoko Kumai, Yui Horie, Yuichi Nakamura, Nana Mizuki, Takumu Miyazono, Noriaki Kanze, Michiko Neya, Toru Sakurai, Rina Hidaka, Masakazu Morita, Minami Takayama",Japan,9-Aug-21,2021,TV-14,1 Season,"Anime Series, International TV Shows"
s293,Movie,Quartet,Dustin Hoffman,"Maggie Smith, Tom Courtenay, Billy Connolly, Pauline Collins, Michael Gambon, Andrew Sachs, Sheridan Smith, David Ryall, Trevor Peacock, Gwyneth Jones",United Kingdom,8-Aug-21,2012,PG-13,98 min,"Comedies, Dramas, Independent Movies"
s294,Movie,Slay,Adze Ugah,"Enhle Mbali, Ramsey Nouah, Dawn Thandeka Kang, Idris Sultan, Tumi Morake, Trevor Gumbi, Lillian Dube, Kaly Bossy Asante, Shaleen Surtie, Fabian Lojege",South Africa,8-Aug-21,2021,TV-MA,86 min,"Comedies, International Movies, Romantic Movies"
s295,Movie,Takizawa Kabuki ZERO 2020 The Movie,Hideaki Takizawa,"Hikaru Iwamoto, Tatsuya Fukazawa, Raul, Shota Watanabe, Koji Mukai, Ryohei Abe, Ren Meguro, Ryota Miyadate, Daisuke Sakuma, Arata Sato, Tatsuya Kageyama, Taiga Suzuki, Shunsuke Motoi, Taiga Tsubaki, Yuki Yokohara, Minato Matsui, Shosei Oda",,7-Aug-21,2020,TV-PG,139 min,"International Movies, Music & Musicals"
s296,Movie,The Paper Tigers,Quoc Bao Tran,"Alain Uy, Ron Yuan, Mykel Shannon Jenkins, Jae Suh Park, Matthew Page, Joziah Lagonoy, Raymond Ma",United States,7-Aug-21,2021,PG-13,111 min,"Action & Adventure, Comedies"
s297,TV Show,Hit & Run,,"Lior Raz, Kaelen Ohm, Sanaa Lathan, Moran Rosenblatt, Lior Ashkenazi, Gregg Henry, Gal Toren","Israel, United States",6-Aug-21,2021,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Mysteries"
s298,TV Show,Navarasa,"Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon","Suriya, Vijay Sethupathi, Revathy, Prakash Raj, Siddarth, Parvathy, Delhi Ganesh, Gautham Vasudev Menon, Anjali, Yogi Babu, Aditi Balan, Remya Nambeesan, Poorna, Prayaga Martin, Rythvika Suriya, Arvind Swamy, Prasanna, Atharva, Bobby Simha, Ashok Selvan, Nedumudi Venu, Kishore",India,6-Aug-21,2021,TV-MA,1 Season,TV Shows
s299,Movie,Quam's Money,Kayode Kasum,"Falz, Nse Ikpe-Etim, Williams Uchemba, Toni Tones, Michelle Dede, Karibi Fubara, Buchi Ojei, Jemima Osunde, Blossom Chukwujekwu, Gbubemi Ejeye, Badmus Olakunle",Nigeria,6-Aug-21,2020,TV-MA,115 min,"Comedies, Dramas, International Movies"
s300,Movie,The Swarm,Just Philippot,"Suliane Brahim, Sofian Khammes, Marie Narbonne, Raphaël Romand, Stéphan Castang, Victor Bonnel, Christian Bouillette, Renan Prévot, Vincent Deniard",France,6-Aug-21,2021,TV-14,102 min,"Horror Movies, Independent Movies, International Movies"
s301,Movie,Vivo,"Kirk DeMicco, Brandon Jeffords","Lin-Manuel Miranda, Ynairaly Simo, Zoe Saldana, Juan de Marcos, Brian Tyree Henry, Gloria Estefan, Michael Rooker, Nicole Byer","Canada, United States",6-Aug-21,2021,PG,100 min,"Children & Family Movies, Music & Musicals"
s302,Movie,Chennai Express,Rohit Shetty,"Shah Rukh Khan, Deepika Padukone, Nikitin Dheer, Satyaraj, Kamini Kaushal, Lekh Tandon, Mukesh Tiwari",India,5-Aug-21,2013,TV-14,135 min,"Action & Adventure, Comedies, International Movies"
s303,Movie,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",,Brazil,5-Aug-21,2013,TV-MA,69 min,"Documentaries, International Movies"
s304,Movie,Esperando la carroza,Alejandro Doria,"Luis Brandoni, China Zorrilla, Antonio Gasalla, Julio De Grazia, Betiana Blum, Monica Villa, Juan Manuel Tenuta, Andrea Tenuta, Cecilia Rossetto, Enrique Pinti",Argentina,5-Aug-21,1985,TV-MA,95 min,"Comedies, Cult Movies, International Movies"
s305,Movie,Lady Boss: The Jackie Collins Story,Laura Fairrie,Jackie Collins,United Kingdom,5-Aug-21,2021,TV-14,97 min,Documentaries
s306,Movie,Tango Feroz,Marcelo Piñeyro,"Fernán Mirás, Cecilia Dopazo, Imanol Arias, Héctor Alterio, Leonardo Sbaraglia, Federico D'Elía, David Masajnik, Cristina Banegas, Ernesto Alterio, Antonio Birabent","Argentina, Spain",5-Aug-21,1993,TV-MA,124 min,"Classic Movies, Dramas, International Movies"
s307,Movie,'76,Izu Ojukwu,"Ramsey Nouah, Rita Dominic, Chidi Mokeme, Ibinabo Fiberesima, Daniel K. Daniel, Memry Savanhu, Adonijah Owiriwa, Pat Nebo, Nelly Ekwereogu, Shuaibu Ebenesi Adams, Debo Oguns, Ben Nwosu, Ada Ofoegbu",Nigeria,4-Aug-21,2016,TV-PG,118 min,"Dramas, International Movies"
s308,Movie,Aftermath,Peter Winther,"Ashley Greene, Shawn Ashmore, Sharif Atkins, Britt Baron, Diana Hopper, Ross McCall, Jamie Kaler, Travis Coles, Susan Walters, Jason Liles",United States,4-Aug-21,2021,TV-MA,115 min,Horror Movies
s309,Movie,American Masters: Inventing David Geffen,Susan Lacy,David Geffen,United States,4-Aug-21,2012,TV-MA,115 min,Movies
s310,TV Show,Car Masters: Rust to Riches,,"Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike ""Caveman"" Pyle",,4-Aug-21,2021,TV-PG,3 Seasons,Reality TV
s311,TV Show,Cocaine Cowboys: The Kings of Miami,Billy Corben,,United States,4-Aug-21,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries"
s312,TV Show,Control Z,,"Ana Valeria Becerril, Michael Ronda, Yankel Stevan, Zion Moreno, Luis Curiel, Samantha Acuña, Macarena García, Fiona Palomo, Andrés Baida, Patricio Gallardo, Iván Aragón, Xabiani Ponce de León, Patricia Maqueo, Rodrigo Cachero, Rocío Verdejo, Mauro Sánchez Navarro, Lidia San José, Thanya López, Renata del Castillo, Arturo Barba, Kariam Castro, Ariana Saavedra, Alexander Holtmann, Nastassia Villasana, Marco Zunino",Mexico,4-Aug-21,2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
s313,TV Show,Cooking With Paris,,Paris Hilton,United States,4-Aug-21,2021,TV-MA,1 Season,Reality TV
s314,TV Show,Autumn's Concerto,,"Ady An, Vanness Wu, Ann Hsu, Wu Kang-ren, Xiao Xiao Bin",Taiwan,3-Aug-21,2009,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s315,Movie,Heavy,James Mangold,"Pruitt Taylor Vince, Shelley Winters, Liv Tyler, Debbie Harry, Evan Dando, Joe Grifasi, David Patrick Kelly, Marian Quinn",United States,3-Aug-21,1995,R,104 min,"Dramas, Independent Movies, Romantic Movies"
s316,Movie,Ije: The Journey,Chineze Anyaene,"Genevieve Nnaji, Omotola Jalade-Ekeinde, Odalys Garcia, Ulrich Que, Jeff Swarthout, Clem Ohameze, Ann D. Carey, Anahit Setian, Danielle Soibelman, Jon Morgan Woodward","United States, Nigeria",3-Aug-21,2010,TV-MA,106 min,"Dramas, International Movies"
s317,TV Show,Office Girls,Hsu Fu-chun,"Roy Chiu, Alice Ko, Tia Lee, Patrick Lee, Kuo Shu-yao, James Wen, Janel Tsai",Taiwan,3-Aug-21,2011,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s318,Movie,Pray Away,Kristine Stolakis,,United States,3-Aug-21,2021,PG-13,102 min,"Documentaries, LGBTQ Movies"
s319,Movie,Shiny_Flakes: The Teenage Drug Lord,"Eva Müller, Michael Schmitt",Maximilian Schmidt,,3-Aug-21,2021,TV-MA,97 min,"Documentaries, International Movies"
s320,TV Show,The Prince Who Turns into a Frog,,"Joe Chen, Ming Dao, Sam Wang, Joyce Chao, Gino, Su Li-hsin, Wang Chuan, Ehlo Huang",Taiwan,3-Aug-21,2005,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s321,TV Show,Top Secret UFO Projects: Declassified,,,,3-Aug-21,2021,TV-PG,1 Season,Docuseries
s322,TV Show,Two Fathers,,"Weber Yang, Lin Yo-Wei, Megan Lai, Amanda Chou, Lucia Xie, Cherry Leung",Taiwan,3-Aug-21,2013,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s323,TV Show,You're My Destiny,,"Joe Chen, Ethan Juan, Baron Chen, Bianca Bai, Na Wei-hsun, Tan Ai-Chen",Taiwan,3-Aug-21,2008,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s324,TV Show,30 Rock,,"Tina Fey, Alec Baldwin, Tracy Morgan, Jane Krakowski, Jack McBrayer, Scott Adsit, Judah Friedlander, Katrina Bowden, Keith Powell, Lonny Ross, John Lutz, Kevin Brown, Grizz Chapman, Maulik Pancholy",United States,1-Aug-21,2012,TV-14,7 Seasons,TV Comedies
s325,TV Show,44 Cats,,"Sarah Natochenny, Suzy Myers, Simona Berman, Erica Schroeder, Marca Leigh, Scottie Ray, Henry F. Benjamin",Italy,1-Aug-21,2020,TV-Y7,3 Seasons,Kids' TV
s326,Movie,Beethoven,Brian Levant,"Charles Grodin, Bonnie Hunt, Dean Jones, Oliver Platt, Stanley Tucci, Nicholle Tom, Christopher Castile, Sarah Rose Karr, David Duchovny, Patricia Heaton, O-Lan Jones, Nancy Fish",United States,1-Aug-21,1992,PG,87 min,"Children & Family Movies, Comedies"
s327,Movie,Beethoven's 2nd,Rod Daniel,"Charles Grodin, Bonnie Hunt, Nicholle Tom, Christopher Castile, Sarah Rose Karr, Debi Mazar, Chris Penn",United States,1-Aug-21,1993,PG,88 min,"Children & Family Movies, Comedies"
s328,Movie,Beowulf,Robert Zemeckis,"Ray Winstone, Anthony Hopkins, John Malkovich, Angelina Jolie, Robin Wright, Brendan Gleeson, Crispin Glover, Alison Lohman, Sharisse Baker-Bernard","United States, United Kingdom",1-Aug-21,2007,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy"
s329,Movie,Boyka: Undisputed,Todor Chapkanov,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov, Brahim Achabbakhe, Paul Chahidi, Petio Petkov, Valentin Ganev, Vlado Mihailov","Bulgaria, United States",1-Aug-21,2016,R,90 min,Action & Adventure
s330,Movie,Catch Me If You Can,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Brian Howe, Frank John Hughes, Steve Eastin","United States, Canada",1-Aug-21,2002,PG-13,142 min,Dramas
s331,Movie,Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller","Bill Hader, Anna Faris, James Caan, Andy Samberg, Bruce Campbell, Mr. T, Bobb'e J. Thompson, Benjamin Bratt, Neil Patrick Harris, Al Roker","United States, Canada",1-Aug-21,2009,PG,90 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
s332,TV Show,Darwin’s Game,,"Yusuke Kobayashi, Reina Ueda, Nichika Omori, Taku Yashiro, Yumiri Hanamori, Ai Kayano, Takehito Koyasu, Yoshitsugu Matsuoka",,1-Aug-21,2020,TV-MA,1 Season,"Anime Series, International TV Shows, TV Thrillers"
s333,Movie,Deep Blue Sea,Renny Harlin,"Thomas Jane, Saffron Burrows, Samuel L. Jackson, Jacqueline McKenzie, Michael Rapaport, Stellan Skarsgård, LL Cool J, Aida Turturro, Cristos, Daniel Rey","United States, Mexico",1-Aug-21,1999,R,105 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
s334,Movie,Ferris Bueller's Day Off,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Kristy Swanson, Ben Stein, Del Close",United States,1-Aug-21,1986,PG-13,103 min,"Classic Movies, Comedies, Cult Movies"
s335,Movie,Five Feet Apart,Justin Baldoni,"Haley Lu Richardson, Cole Sprouse, Moisés Arias, Kimberly Hébert Gregory, Parminder Nagra, Claire Forlani, Emily Baldoni, Gary Weeks, Cynthia Evans",United States,1-Aug-21,2019,PG-13,116 min,"Dramas, Romantic Movies"
s336,Movie,Freedomland,Joe Roth,"Samuel L. Jackson, Julianne Moore, Edie Falco, Ron Eldard, William Forsythe, Aunjanue Ellis, Anthony Mackie, LaTanya Richardson Jackson, Clarke Peters, Peter Friedman, Domenick Lombardozzi",United States,1-Aug-21,2006,R,113 min,"Dramas, Thrillers"
s337,TV Show,Friday Night Lights,,"Kyle Chandler, Connie Britton, Aimee Teegarden, Taylor Kitsch, Jesse Plemons, Minka Kelly, Zach Gilford, Adrianne Palicki, Derek Phillips, Brad Leland, Gaius Charles, Timothy F. Crowley, Louanne Stephens, Stacey Oristano, Scott Porter",,1-Aug-21,2010,TV-14,5 Seasons,"TV Dramas, Teen TV Shows"
s338,Movie,Good Luck Chuck,Mark Helfrich,"Dane Cook, Jessica Alba, Dan Fogler, Ellia English, Sasha Pieterse, Annie Wood, Lonny Ross, Chelan Simmons, Simone Bailly, Jodelle Ferland, Crystal Lowe, Troy Gentile, Georgia Craig, Michelle Harrison, Chiara Zanni","United States, Canada",1-Aug-21,2007,R,99 min,"Comedies, Romantic Movies"
s339,TV Show,Hunter X Hunter (2011),,"Megumi Han, Mariya Ise, Keiji Fujiwara, Miyuki Sawashiro, Daisuke Namikawa",Japan,1-Aug-21,2014,TV-14,6 Seasons,"Anime Series, International TV Shows"
s340,Movie,I missed you: Director's Cut,"Mag Hsu, Hsu Chih-yen","Wu Kang-ren, Eve Ai, Fu Meng-po, Lin Mei-hsiu, 9m88",,1-Aug-21,2021,TV-14,96 min,"Dramas, Independent Movies, International Movies"
s341,Movie,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas","United States, United Kingdom",1-Aug-21,2010,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers"
s342,Movie,Magnolia,Paul Thomas Anderson,"John C. Reilly, Philip Baker Hall, Tom Cruise, Julianne Moore, Philip Seymour Hoffman, William H. Macy, Jeremy Blackman, Jason Robards, Melinda Dillon, April Grace, Luis Guzmán, Ricky Jay, Alfred Molina, Michael Murphy, Melora Walters",United States,1-Aug-21,1999,R,189 min,"Dramas, Independent Movies"
s343,Movie,Major Payne,Nick Castle,"Damon Wayans, Karyn Parsons, William Hickey, Michael Ironside, Albert Hall, Ross Bickell, Orlando Brown, Peyton Chesson-Fohl, Steven Martini",United States,1-Aug-21,1995,PG-13,97 min,Comedies
s344,Movie,My Girl,Howard Zieff,"Dan Aykroyd, Jamie Lee Curtis, Macaulay Culkin, Anna Chlumsky, Richard Masur, Griffin Dunne, Ann Nelson, Peter Michael Goetz, Jane Hallaren, Anthony R. Jones",United States,1-Aug-21,1991,PG-13,102 min,Dramas
s345,Movie,My Girl 2,Howard Zieff,"Anna Chlumsky, Austin O'Brien, Dan Aykroyd, Jamie Lee Curtis, Richard Masur, Christine Ebersole, Angeline Ball",United States,1-Aug-21,1994,PG,99 min,"Children & Family Movies, Comedies, Dramas"
s346,Movie,Open Season: Scared Silly,David Feiss,"William Townsend, Donny Lucas, Melissa Sturm, Trevor Devall, Brian Drummond, Kathleen Barr, Garry Chalk, Lee Tockar, Shannon Chan-Kent, Michelle Murdocca, Lorne Cardinal, Peter Kelamis","United States, Canada",1-Aug-21,2015,PG,85 min,"Children & Family Movies, Comedies"
s347,Movie,Pineapple Express,David Gordon Green,"Seth Rogen, James Franco, Danny McBride, Kevin Corrigan, Craig Robinson, Gary Cole, Rosie Perez, Ed Begley Jr., Nora Dunn, Amber Heard",United States,1-Aug-21,2008,R,112 min,"Action & Adventure, Comedies"
s348,Movie,Planet 51,Jorge Blanco,"Justin Long, Dwayne Johnson, Gary Oldman, Seann William Scott, Jessica Biel, John Cleese, Freddie Benedict","Spain, United Kingdom, United States",1-Aug-21,2009,PG,91 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
s349,Movie,Poms,Zara Hayes,"Diane Keaton, Jacki Weaver, Pam Grier, Rhea Perlman, Celia Weston, Alisha Boe, Charlie Tahan","United Kingdom, United States",1-Aug-21,2019,PG-13,91 min,Comedies
s350,Movie,Seabiscuit,Gary Ross,"Tobey Maguire, Jeff Bridges, Chris Cooper, Elizabeth Banks, Gary Stevens, William H. Macy, David McCullough, Kingston DuCoeur, Eddie Jones, Ed Lauter, Michael O'Neill, Michael Angarano, Royce D. Applegate, Annie Corley, Valerie Mahaffey",United States,1-Aug-21,2003,PG-13,141 min,"Dramas, Sports Movies"
s351,Movie,Space Cowboys,Clint Eastwood,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner, James Cromwell, Marcia Gay Harden, William Devane, Loren Dean, Courtney B. Vance, Rade Serbedzija, Barbara Babcock, Blair Brown",United States,1-Aug-21,2000,PG-13,130 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy"
s352,Movie,Team America: World Police,Trey Parker,"Trey Parker, Matt Stone, Kristen Miller, Masasa Moyo, Daran Norris, Phil Hendrie, Maurice LaMarche, Chelsea Magritte, Jeremy Shada, Fred Tatasciore","United States, Germany",1-Aug-21,2004,R,98 min,"Action & Adventure, Comedies, Cult Movies"
s353,Movie,The Edge of Seventeen,Kelly Fremon Craig,"Hailee Steinfeld, Woody Harrelson, Kyra Sedgwick, Haley Lu Richardson, Blake Jenner, Hayden Szeto, Alexander Calvert, Eric Keenleyside","United States, China",1-Aug-21,2016,R,105 min,"Comedies, Dramas"
s354,Movie,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,"Abigail Spencer, Chad Michael Murray, Katee Sackhoff, Emily Alyn Lind, Cicely Tyson, Andrea Frankle, Brad James, Lance E. Nichols",United States,1-Aug-21,2013,R,101 min,Horror Movies
s355,Movie,The Last Boy Scout,Tony Scott,"Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham, Taylor Negron, Danielle Harris, Halle Berry, Bruce McGill",United States,1-Aug-21,1991,R,105 min,"Action & Adventure, Comedies"
s356,Movie,The Lincoln Lawyer,Brad Furman,"Matthew McConaughey, Josh Lucas, Ryan Phillippe, John Leguizamo, Michael Peña, Bryan Cranston, Bob Gunton, William H. Macy, Marisa Tomei, Frances Fisher",United States,1-Aug-21,2011,R,118 min,"Dramas, Thrillers"
s357,Movie,The Losers,Sylvain White,"Jeffrey Dean Morgan, Zoe Saldana, Chris Evans, Idris Elba, Columbus Short, Óscar Jaenada, Jason Patric, Holt McCallany, Peter Macdissi, Peter Francis James","United States, France",1-Aug-21,2010,PG-13,97 min,Action & Adventure
s358,Movie,The Machinist,Brad Anderson,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, Michael Ironside, Lawrence Gilliard Jr., Reg E. Cathey, Anna Massey, Matthew Romero, Robert Long, Colin Stinton, Craig Stevenson","Spain, France, United Kingdom, United States",1-Aug-21,2004,R,102 min,"Dramas, Independent Movies, Thrillers"
s359,Movie,The Net,Irwin Winkler,"Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker, Wendy Gazelle, Ken Howard, Ray McKinnon, Daniel Schorr, L. Scott Caldwell, Robert Gossett",United States,1-Aug-21,1995,PG-13,114 min,Thrillers
s360,Movie,The Original Kings of Comedy,Spike Lee,"Steve Harvey, D.L. Hughley, Cedric the Entertainer, Bernie Mac",United States,1-Aug-21,2000,R,111 min,Stand-Up Comedy
s361,Movie,Valentine's Day,Garry Marshall,"Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper, Eric Dane, Patrick Dempsey, Hector Elizondo, Jamie Foxx, Jennifer Garner, Topher Grace, Anne Hathaway, Ashton Kutcher, Queen Latifah, Taylor Lautner, George Lopez, Shirley MacLaine, Emma Roberts, Julia Roberts, Taylor Swift",United States,1-Aug-21,2010,PG-13,125 min,"Comedies, Romantic Movies"
s362,TV Show,Charmed,,"Madeleine Mantock, Sarah Jeffery, Melonie Diaz, Rupert Evans, Ser'Darius Blain, Ellen Tamaki, Charlie Gillespie",United States,31-Jul-21,2021,TV-14,3 Seasons,"TV Dramas, TV Sci-Fi & Fantasy"
s363,Movie,The Lost Café,Kenneth Gyang,"Tunde Aladese, Omatta Udalor, Terje Lien, Ann Njemanze, Anders Lidin Hansen, Jenny Bonden, Belinda Effah, Anita Daniels, Silje Drensgrud, Torbjørn Jensen",,31-Jul-21,2018,TV-14,76 min,"Dramas, International Movies"
s364,Movie,The Vault,Jaume Balagueró,"Freddie Highmore, Astrid Bergès-Frisbey, Sam Riley, Liam Cunningham, José Coronado, Luis Tosar, Emilio Gutiérrez Caba, Axel Stein, Daniel Holguín, Famke Janssen",,31-Jul-21,2021,R,118 min,"Action & Adventure, International Movies, Thrillers"
s365,TV Show,Centaurworld,,"Kimiko Glenn, Megan Hilty, Parvesh Cheena, Chris Diamantopoulos, Megan Nicole Dong, Jessie Mueller, Josh Radnor",,30-Jul-21,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies"
s366,Movie,Eyes of a Thief,Najwa Najjar,"Khaled Abol El Naga, Souad Massi, Suhail Haddad, Malak Ermileh, Maisa Abd Elhadi, Walid Abdul Salam, Nisreen Faour, Areen Omari",", France, Algeria",30-Jul-21,2014,TV-14,103 min,"Dramas, Independent Movies, International Movies"
s367,TV Show,Glow Up,,,United Kingdom,30-Jul-21,2021,TV-14,3 Seasons,"British TV Shows, International TV Shows, Reality TV"
s368,Movie,I'm Glad I Did,Selçuk Metin,"Metin Akpinar, Demet Akbag, Umur Bugay, Ahmet Gülhan, Dikmen Gürün, Kandemir Konduk, Perran Kutman, Zeynep Oral, Nevra Serezli, Selma Sonat, Suat Sungur, Ferhan Sensoy, Cihat Tamer, Demet Taner",,30-Jul-21,2020,TV-14,114 min,"Documentaries, International Movies"
s369,TV Show,Khawatir,,,,30-Jul-21,2009,TV-14,1 Season,"International TV Shows, Reality TV"
s370,TV Show,Myth & Mogul: John DeLorean,,,,30-Jul-21,2021,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
s371,TV Show,Outer Banks,,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss, Rudy Pankow, Charles Esten, Adina Porter, Austin North, Drew Starkey",United States,30-Jul-21,2021,TV-MA,2 Seasons,"TV Action & Adventure, TV Dramas, Teen TV Shows"
s372,Movie,Pomegranates and Myrrh,Najwa Najjar,"Yasmine Al Massri, Ashraf Farah, Ali Suliman, Hiam Abbass, Samia Kuzmoz Bakri, Yosef Abu Wardeh, Wardeh Dukwar, Manal Awad, Valentina Abu-'Aksa, Walid Abdul Salam, Ahmad Abu Sal'oum, Wardeh Jubran",,30-Jul-21,2009,TV-14,95 min,"Dramas, Independent Movies, International Movies"
s373,Movie,Rurouni Kenshin: The Beginning,Keishi Otomo,"Takeru Satoh, Kasumi Arimura, Issey Takahashi, Nijiro Murakami, Masanobu Ando, Kazuki Kitamura, Yosuke Eguchi",,30-Jul-21,2021,TV-MA,138 min,"Action & Adventure, International Movies"
s374,Movie,The Last Mercenary,David Charhon,"Jean-Claude Van Damme, Alban Ivanov, Éric Judor, Patrick Timsit, Miou-Miou, Assa Sylla, Samir Decazza, Valérie Kaprisky, Djimo, Nassim Lyes",,30-Jul-21,2021,TV-MA,112 min,"Action & Adventure, Comedies, International Movies"
s375,Movie,Flower Girl,Michelle Bello,"Damilola Adegbite, Chris Attoh, Chuks Chukwujekwu, Blossom Chukwujekwu, Eku Edewor, Bikiya Graham Douglas",Nigeria,29-Jul-21,2013,TV-PG,94 min,"Comedies, International Movies, Romantic Movies"
s376,Movie,Resort to Love,Steven Tsuchida,"Christina Milian, Jay Pharoah, Sinqua Walls, Tymberlee Hill, Jeryl Prescott Gallien, Christiani Pitts, Karen Obilom, Alexander Hodge, T.J. Power, Sylvaine Strike, Kayne Lee Harrison",,29-Jul-21,2021,TV-14,102 min,"Comedies, Romantic Movies"
s377,TV Show,Transformers: War for Cybertron: Kingdom,,"Jake Foushee, Jason Marnocha, Linsay Rousseau, Joe Zieja, Frank Todaro, Bill Rogers, Keith Silverstein, Edward Bosco, Tessho Genda, Ryohei Kimura, Kikuko Inoue, Kazuhiko Inoue, Chafurin",,29-Jul-21,2021,TV-Y7,1 Season,Anime Series
s378,Movie,Bartkowiak,Daniel Markowicz,"Józef Pawlowski, Zofia Domalik, Szymon Bobrowski, Bartlomiej Topa, Janusz Chabior, Rafal Zawierucha, Antoni Pawlicki, Cezary Lukaszewicz, Danuta Stenka, Jan Frycz, Damian Majewski",Poland,28-Jul-21,2021,TV-MA,92 min,"Action & Adventure, International Movies"
s379,Movie,Fantastic Fungi,Louie Schwartzberg,,United States,28-Jul-21,2019,TV-14,81 min,Documentaries
s380,TV Show,Tattoo Redo,,,,28-Jul-21,2021,TV-MA,1 Season,Reality TV
s381,TV Show,The Flash,Glen Winter,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht",United States,28-Jul-21,2021,TV-14,7 Seasons,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy"
s382,TV Show,The Snitch Cartel: Origins,,"Juan Pablo Urrego, Sebastián Osorio, Patricia Tamayo, Verónica Velásquez, María Camila Zárate, Nicole Santamaría, Eduardo Pérez, Julian Farrieta, Gustavo Angarita Jr., Carlos Manuel Vesga, Helena Mallarino, David Prada, Margarita Reyes, Adriana Silva, Laura Rodríguez, Angélica Blandón, Maia Landaburu, Jesús de los Ríos",,28-Jul-21,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s383,TV Show,All American,,"Daniel Ezra, Taye Diggs, Samantha Logan, Bre-Z, Greta Onieogou, Monet Mazur, Michael Evans Behling, Cody Christian, Karimah Westbrook, Jalyn Hall, Jordan Belfi, Briana Lane",United States,27-Jul-21,2021,TV-14,3 Seasons,"TV Dramas, Teen TV Shows"
s384,Movie,Department,Ram Gopal Varma,"Amitabh Bachchan, Sanjay Dutt, Rana Daggubati, Vijay Raaz, Abhimanyu Singh, Madhu Shalini, Deepak Tijori, Anjana Sukhani, Manchu Lakshmi",India,27-Jul-21,2012,TV-MA,143 min,"Action & Adventure, International Movies"
s385,Movie,Hostage House,David Benullo,"Jennifer Taylor, Justin Schilling, Emily Sweet, Julia Terranova, Patrick Cronen, Richard Neil",,27-Jul-21,2021,TV-14,86 min,Thrillers
s386,TV Show,How to Sell Drugs Online (Fast),,"Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung, Leonie Wesselow, Luna Schaller, Bjarne Mädel, Roland Riebeling",Germany,27-Jul-21,2021,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Comedies"
